formula,smiles_format,mol_wt,pubchem_status,pubchem_cid,iupac_name,structure,RotationalconstantA,RotationalconstantB,RotationalconstantC,Dipolemoment,HOMO,LUMO,EnergyGap,Zeropointenergy,Finalsinglepointenergy,Totalthermalenergy,TotalEnthalpy,Totalentropy,Gibbsfreeenergy
C9H4,[C]=C1[C]2[C@]31[C]2C=CC=C3,112.1302,0,,"(1R)-7-methylidenetricyclo[4.1.0.01,7]hepta-2,4-diene",HD0011_agg.xyz,0.141354,0.052117,0.038992,5.90193,-6.42599579094255,-3.20008609326505,3.2259096976775,0.08908778,-344.613786319522,-344.51774446,-344.51680025,0.03913434,-344.55593458
C7H7,C=C[CH]/C=C/1\C=C1,91.1316,0,,(3E)-3-but-3-enylidenecyclopropene,HD0012_agg.xyz,0.488115,0.035744,0.033305,3.56987,-3.8535402938557497,-0.9612149655062,2.89232532834955,0.10915492,-270.437248299039,-270.32072657,-270.31978237,0.04001139,-270.35979376
C7H7,C1[C]([C@@H]2[C@H]1C2)C#C,91.1316,0,,"(1S,2R,4S)-2-ethynylbicyclo[2.1.0]pentane",HD0013_agg.xyz,0.25499,0.060543,0.053686,1.05598,-4.8375311886488,0.80036846847565,5.63789965712445,0.1111795,-270.427226766878,-270.30950729,-270.30856308,0.0381908,-270.34675388
C6H4,[CH2][C@]12[C]3[C@H]1[C][C@H]23,76.0972,0,,"(2R,4S,5R)-1-methyltricyclo[2.1.0.02,5]pentane",HD0014_agg.xyz,0.293903,0.144699,0.130363,2.42167,-5.8350461418117,-2.3537303840549,3.4813157577568004,0.06992098,-230.428193735386,-230.35306758,-230.35212338,0.03398187,-230.38610524
C9H9,C=CC1=C([CH2])C(=C)C=C1,117.1692,0,,"2-ethenyl-1-methanidyl-5-methylidenecyclopenta-1,3-diene",HD0015_agg.xyz,0.106915,0.044253,0.031457,0.29184,-4.73001900631625,-1.42933242252135,3.3006865837949,0.14578978,-347.83624837524,-347.6821285,-347.68118429,0.04231066,-347.72349495
C7H8,CC1=C(CC1)C#C,92.1394,0,,1-ethynyl-2-methylcyclobutene,HD0016_agg.xyz,0.141125,0.071872,0.048952,0.93478,-6.0846289654903005,-0.5634933616154,5.5211356038749,0.12331927,-271.092215316328,-270.96155801,-270.9606138,0.03940742,-271.00002122
C10H3,[c]1[c]c2cc2cc2c([c]1)c2,123.13339999999998,1,71438740.0,"tricyclo[6.1.0.03,5]nona-1(9),2,4,7-tetraene",HD0017_agg.xyz,0.087215,0.051036,0.032196,2.66235,-5.98479039374185,-1.3936582967208,4.59113209702105,0.0816235,-382.034340755164,-381.94514422,-381.94420002,0.04108176,-381.98528178
C8H7,[CH]=CC1=C(CC1)C#C,103.1426,0,,1-ethenyl-2-ethynylcyclobutene,HD0018_agg.xyz,0.110406,0.052966,0.036293,0.89596,-6.0957312105907,-1.5681376976614,4.5275935129293,0.11532761,-308.446360523253,-308.32307255,-308.32212834,0.04171698,-308.36384532
C6H1,[C]1[C@H]2[C]3[C@@]41[C@@]23[C]4,73.0738,0,,"(1S,3S,4S)-tetracyclo[2.1.0.01,3.02,5]pentane",HD0019_agg.xyz,0.315621,0.234753,0.184122,2.18939,-7.2859571926777,-3.31459160155545,3.9713655911222494,0.03295476,-228.445916895923,-228.40776552,-228.40682131,0.03433882,-228.44116014
C9H9,C#C/C=C(/C(=C=C)[CH2])\C,117.1692,0,,"(4E)-3-methyl-4-methylhepta-1,2,4-trien-6-yne",HD0020_agg.xyz,0.121434,0.029237,0.02445,1.0064,-5.28039648033755,-1.25142438706445,4.0289720932731,0.14028943,-347.736817484353,-347.58613773,-347.58519353,0.04670712,-347.63190065
C5H1,[C]#C[CH]C#[C],61.0628,1,141112.0,"penta-1,4-diyne",HD0021_agg.xyz,0.827956,0.110589,0.097558,2.93446,-8.6420093552594,-4.8214492600842505,3.82056009517515,0.02785236,-190.515921470102,-190.48254445,-190.48160024,0.03533776,-190.51693801
C8H5,C#CC1=C[C@H]2[C]3[C@@H]1[C@@H]23,101.127,0,,"(2S,5R,6S)-3-ethynyltricyclo[3.1.0.02,6]hex-3-ene",HD0022_agg.xyz,0.22652,0.052862,0.046275,1.63447,-5.30309077546925,-1.20494734139905,4.0981434340702,0.09436679,-307.206114866686,-307.10547541,-307.1045312,0.0379521,-307.14248331
C8H3,C#CC#C[C]1[C]2[C@H]1[CH]2,99.1114,0,,"(2S,3R)-2-buta-1,3-diynylbicyclo[1.1.0]butane",HD0023_agg.xyz,0.636884,0.026583,0.025742,2.07635,-5.6286205748224,-1.7299638045537502,3.8986567702686497,0.06732577,-305.933656792292,-305.85885178,-305.85790757,0.0404363,-305.89834387
C5H6,[CH2]C1=C[CH]C1,66.1018,1,137031.0,1-methanidylcyclobutene,HD0024_agg.xyz,0.413053,0.165711,0.121027,0.51076,-6.27252357926055,-0.6198209286689,5.65270265059165,0.09085954,-193.802548235872,-193.70703423,-193.70609002,0.03273581,-193.73882583
C6H3,C#C[C]1[C@@H]2[C@H]1[C]2,75.0894,0,,"(1R,2R,3R)-2-ethynylbicyclo[1.1.0]butane",HD0025_agg.xyz,0.660985,0.077947,0.071827,3.21495,-5.368969538675301,-1.04108038062795,4.32788915804735,0.05770869,-229.852815447417,-229.78958594,-229.78864173,0.03558621,-229.82422794
C8H7,C1=C[C@H]2C(=CC=C2)C1,103.1426,0,,"(3aR)-1,3a-dihydropentalene",HD0026_agg.xyz,0.162204,0.070652,0.049671,1.35019,-5.34956782113465,-0.47279781524375,4.8767700058909,0.12010962,-308.584551254849,-308.45852668,-308.45758247,0.03717786,-308.49476033
C4H6,CC=C=C,54.0908,1,11535.0,"buta-1,2-diene",HD0027_agg.xyz,1.146579,0.138303,0.12978,0.43232,-6.7989822458229,0.4120347924271,7.21101703825,0.08329415,-155.764107922148,-155.67574825,-155.67480404,0.03296628,-155.70777031
C8H10,C1C[C@@]23[C@@H]1[C@]12[C@@H]3CC1,106.166,1,123611117.0,"(1R,2S,5R,6S)-tetracyclo[4.2.0.01,5.02,5]octane",HD0028_agg.xyz,0.174619,0.06314,0.05162,0.00139,-5.1444756120128,-0.94344593106855,4.20102968094425,0.15420428,-310.263048788442,-310.10208017,-310.10113596,0.03818145,-310.13931741
C10H2,[CH]1[C]=C=C[C@@]23[C@@]([C]=[C]1)([C]2)[C]3,122.1256,0,,"(1S,8R)-tricyclo[6.1.1.01,8]deca-2,3,6-triene",HD0029_agg.xyz,0.089068,0.057554,0.03948,3.67059,-6.4599283880999,-2.9500950988107,3.509833289289201,0.06979043,-381.328974248789,-381.25179911,-381.2508549,0.0398147,-381.2906696
C6H6,CC=C=CC#C,78.11280000000001,1,20528727.0,"hexa-3,4-dien-1-yne",HD0030_agg.xyz,0.424628,0.050939,0.048203,1.19503,-6.482296146611,-0.67203957657985,5.810256570031149,0.09334417,-231.813643676255,-231.71339975,-231.71245554,0.038188,-231.75064354
C8H8,C=C=C1C=CCC=C1,104.1504,1,153184593.0,"3-ethenylidenecyclohexa-1,4-diene",HD0031_agg.xyz,0.171578,0.047244,0.037588,0.67643,-5.61487882537215,-0.6850738300188001,4.92980499535335,0.13092502,-309.183140899405,-309.04510693,-309.04416272,0.03918768,-309.0833504
C10H6,C#CC#CC=C=C1CC=C1,126.1568,0,,"3-hexa-1,2-dien-4,6-diynylidenecyclobutene",HD0032_agg.xyz,0.152394,0.014445,0.014016,1.88874,-6.2627002692575,-1.49964664149055,4.76305362776695,0.11539241,-383.934779782453,-383.8098304,-383.8088862,0.0451864,-383.8540726
C5H3,C#CC1[C][CH]1,63.0784,1,138823.0,ethynylcyclopropane,HD0033_agg.xyz,0.732931,0.115615,0.112095,1.85672,-6.3595728000355,-0.08617845645335,6.27339434358215,0.05251712,-191.834208059857,-191.77662111,-191.7756769,0.03404403,-191.80972093
C5H5,[CH]1[C@@H]2[C@@H]3[C@H]1[C@H]23,65.094,1,59373139.0,"(1S,2R,4S,5R)-tricyclo[2.1.0.02,5]pentane",HD0034_agg.xyz,0.339451,0.271281,0.220256,1.22949,-4.82694595986435,2.20055749760845,7.0275034574728,0.07758917,-193.075269180119,-192.99361323,-192.99266902,0.03188832,-193.02455734
C9H8,[CH2]C1=C[CH][C@@H]2[C@H]1[C@]12C=C1,116.1614,0,,"(1R,4R,5S)-2-methylspiro[bicyclo[2.1.0]pent-2-ene-5,3'-cyclopropene]",HD0035_agg.xyz,0.100193,0.050922,0.041926,1.59897,-5.3839358004528,-0.5653981585689001,4.8185376418839,0.13491507,-347.147643496165,-347.00531192,-347.00436771,0.03983868,-347.04420639
C4H2,[C]1[C@@H]2[C@H]1[C]2,50.0596,1,135973.0,"(1S,3S)-bicyclo[1.1.0]butane",HD0036_agg.xyz,0.63154,0.526407,0.34518,2.86186,-6.7260013111188,-1.9929890524470504,4.73301225867175,0.03713335,-153.165454237874,-153.12490828,-153.12396407,0.02916542,-153.15312949
C6H3,c1[c][c][c]cc1,75.0894,1,241.0,cyclohexatriene,HD0037_agg.xyz,0.228522,0.210679,0.109619,1.49726,-6.6779460051205,-2.42717391230485,4.25077209281565,0.06199716,-229.938801878654,-229.87243684,-229.87149263,0.03320238,-229.904695
C8H9,C=C[C](C1CC1)C#C,105.1582,0,,[(3S)-pent-1-en-4-yn-3-yl]cyclopropane,HD0038_agg.xyz,0.082665,0.061836,0.038601,0.58497,-4.93307036155935,0.43970877102295,5.3727791325823,0.13851219,-309.715144264923,-309.56810944,-309.56716523,0.04279057,-309.6099558
C8H2,C#CC1=C([C]1C#C)[C],98.1036,0,,"1,2-diethynyl-3-methylcyclopropene",HD0039_agg.xyz,0.112014,0.048878,0.034029,5.08272,-6.15094311085715,-2.81417423048595,3.3367688803712,0.05589012,-305.283022437318,-305.21928328,-305.21833907,0.04095784,-305.25929691
C9H9,[CH2]C1=C[CH][C]2[C@H]1C=CC2,117.1692,0,,"(3aR)-3-methanidyl-3a,6-dihydro-1H-pentalen-6a-ide",HD0040_agg.xyz,0.105443,0.053986,0.037816,0.77551,-4.59390765829615,-0.105580173994,4.4883274843021495,0.14761106,-347.831135199011,-347.67627526,-347.67533105,0.04019915,-347.7155302
C5H3,CC1=C([C]1)[C],63.0784,1,139726.0,1-methylcyclopropene,HD0041_agg.xyz,0.411805,0.158363,0.116902,4.27664,-7.22546628371155,-2.77058159163585,4.4548846920757,0.05201653,-191.794472238382,-191.73693452,-191.73599031,0.03532215,-191.77131247
C8H4,[C]=C1c2c1cccc2,100.1192,1,14547935.0,"7-methylidenebicyclo[4.1.0]hepta-1,3,5-triene",HD0042_agg.xyz,0.185104,0.0632,0.047114,4.67172,-6.3570149298408,-2.9227204454504,3.4342944843904,0.08459261,-306.616420299847,-306.52556035,-306.52461614,0.03753715,-306.56215329
C10H3,[CH2]C#CC1=C([C]1)C#CC#C,123.13339999999998,0,,"1-buta-1,3-diynyl-2-prop-1-ynylcyclopropene",HD0043_agg.xyz,0.108696,0.015846,0.013846,4.22279,-5.99904915950805,-2.6649197834867,3.33412937602135,0.07634278,-382.008136574273,-381.92177722,-381.92083301,0.04679386,-381.96762687
C8H4,[CH]1[CH][C][CH][C]=[C][CH][C]1,100.1192,1,13609.0,cycloheptene,HD0044_agg.xyz,0.112723,0.097168,0.057122,1.14121,-6.3399806027995,-1.7555697178858,4.5844108849137,0.0832543,-306.614340762028,-306.52473965,-306.52379544,0.03711625,-306.56091169
C10H3,C#C[CH][C]C#CC#CC#C,123.13339999999998,0,,"deca-1,3,5,9-tetrayne",HD0045_agg.xyz,0.412421,0.01057,0.010306,0.2378,-5.71632286883855,-2.9850073058298503,2.7313155630087,0.07659262,-382.06237927388,-381.9755073,-381.97456309,0.04687698,-382.02144007
C6H5,C#C[CH]C=C=C,77.105,1,141762.0,"hexa-1,2-dien-5-yne",HD0046_agg.xyz,1.25374,0.046353,0.045122,0.57074,-5.199823569204501,0.0544227701,5.254246339304501,0.07974328,-231.181029341253,-231.09456268,-231.09361847,0.03798424,-231.13160271
C5H8,[CH]C1CCC1,68.11739999999999,1,11725.0,methylcyclobutane,HD0047_agg.xyz,0.292413,0.184363,0.141793,3.02904,-5.339554031436251,-0.56945265494135,4.7701013764949005,0.1127653,-194.912807141717,-194.79490151,-194.7939573,0.03381093,-194.82776823
C5H6,CC1=CC1=C,66.1018,1,101707094.0,1-methyl-3-methylidenecyclopropene,HD0048_agg.xyz,0.399038,0.127339,0.098309,2.49353,-5.3272816967787,-0.1542885532335,5.1729931435452,0.08868952,-193.77228259049,-193.67798369,-193.67703948,0.03481716,-193.71185664
C10H9,C#C[CH]C1=C(C1)C(=C=C)C,129.1802,0,,"1-buta-2,3-dien-2-yl-2-prop-2-ynylcyclopropene",HD0049_agg.xyz,0.084169,0.025415,0.019752,1.13054,-5.00131651526475,-0.6115486676137001,4.38976784765105,0.14576602,-385.754210857015,-385.59725795,-385.59631374,0.04881719,-385.64513093
C7H6,C1=C[C@H]2[C]([CH]1)C=C2,90.1238,0,,"(1R)-bicyclo[3.2.0]hepta-2,6-diene",HD0050_agg.xyz,0.203925,0.104344,0.075342,0.64548,-5.51223748096355,-1.0281549727292,4.48408250823435,0.10320899,-269.875614394352,-269.76726634,-269.76632214,0.03458381,-269.80090595
C7H8,[CH]1[C][CH]C=CCC1,92.1394,1,12363.0,cycloheptene,HD0051_agg.xyz,0.131299,0.111772,0.066014,1.25082,-5.94239505583395,-1.20287927613525,4.7395157796987,0.12621546,-271.101890345545,-270.96965794,-270.96871373,0.03634014,-271.00505387
C10H4,[C]1=[C][C]2C=C[C]3[C]2[C]([CH]1)[CH]3,124.14119999999998,0,,"(1S,3S,6S)-tricyclo[4.3.0.03,9]nona-4,7-diene",HD0052_agg.xyz,0.096157,0.059952,0.038363,2.76558,-5.833984897794751,-2.72753318048675,3.1064517173080004,0.09661001,-382.667164077517,-382.56388113,-382.56293692,0.03848547,-382.60142238
C8H5,C#Cc1c[c]ccc1,101.127,1,10821.0,ethynylbenzene,HD0053_agg.xyz,0.202412,0.051148,0.04083,0.7371,-6.6137815591726,-1.19618527541295,5.41759628375965,0.09653347,-307.315722743448,-307.21282818,-307.21188397,0.03827578,-307.25015975
C7H4,[C]C#C[CH]C(=[C])C,88.1082,1,58863788.0,2-methylhex-1-en-4-yne,HD0054_agg.xyz,0.284181,0.048236,0.041569,2.00074,-6.86937809894725,-4.06361218644175,2.8057659125055,0.07345693,-268.45766342307,-268.37635434,-268.37541013,0.0405186,-268.41592873
C5H2,C1[C][C]2[C]1[C]2,62.07059999999999,1,9101.0,(1R)-bicyclo[2.1.0]pentane,HD0055_agg.xyz,0.4869,0.274565,0.181874,2.97983,-6.725321026492551,-3.3907562683104,3.3345647581821507,0.04225364,-191.141848704846,-191.09498871,-191.0940445,0.03241003,-191.12645453
C10H8,C#CC1=C[C@H]2[C](C1)C=C[CH]2,128.17239999999998,0,,"(3aS,6aS)-2-ethynyl-3a,4-dihydro-1H-pentalen-4-ide",HD0056_agg.xyz,0.137814,0.02839,0.025003,0.31235,-5.89755069327155,-0.8846421279754999,5.01290856529605,0.1422121,-385.249693688142,-385.09944798,-385.09850377,0.04146981,-385.13997359
C6H6,[CH][C]1[CH][C@H]2[C@@H]1C2,78.11280000000001,0,,"(1S,2S,4S)-2-methylbicyclo[2.1.0]pentane",HD0057_agg.xyz,0.269497,0.123929,0.101684,3.35521,-5.25030068847225,-2.766309404183,2.48399128428925,0.09350532,-231.704551440435,-231.60575854,-231.60481433,0.03441629,-231.63923063
C7H7,CC=C=C[CH]C#C,91.1316,1,54425795.0,"hepta-4,5-dien-1-yne",HD0058_agg.xyz,0.556132,0.029531,0.029158,1.11825,-5.0920664844065,0.30337973192245,5.39544621632895,0.10821414,-270.445901393524,-270.32946934,-270.32852513,0.04180333,-270.37032846
C10H6,C#C/C=C/C=C/C#CC#C,126.1568,0,,"(3E,5E)-deca-3,5-dien-1,7,9-triyne",HD0059_agg.xyz,0.571078,0.01056,0.010368,0.57879,-5.9550483498822,-2.43697001092285,3.5180783389593504,0.11421629,-383.956758887858,-383.83217999,-383.83123578,0.04629169,-383.87752747
C7H7,[CH2]C1=C[C@H]2[C@H]3[C@@H]1[C@@H]23,91.1316,0,,"(1S,2S,5S,6S)-3-methanidyltricyclo[3.1.0.02,6]hex-3-ene",HD0060_agg.xyz,0.214792,0.091752,0.073942,1.31669,-4.6709430893727,1.11716341322775,5.78810650260045,0.11218029,-270.454089622157,-270.33636571,-270.3354215,0.03588136,-270.37130285
C10H7,[CH2]C#Cc1[c][c]cc(c1)C,127.16459999999998,1,140431.0,"3-methyl-1-prop-1-ynylcyclohexa-1,3,5-triene",HD0061_agg.xyz,0.118056,0.023352,0.019568,2.06411,-5.366738205101201,-2.1608016640504,3.2059365410508005,0.12589876,-384.562156488829,-384.42644075,-384.42549654,0.04588138,-384.47137792
C10H9,C#CC1=CC=C[C@@H]1C(=C)C,129.1802,0,,"(5R)-1-ethynyl-5-prop-1-en-2-ylcyclopenta-1,3-diene",HD0062_agg.xyz,0.054133,0.049114,0.025874,1.3172,-5.6643763347781,-0.9550107697148,4.7093655650633,0.14995865,-385.84560561812,-385.68606959,-385.68512538,0.04509344,-385.73021882
C9H4,C1=Cc2c1cc1c(c2)[C]1,112.1302,1,101190144.0,"tricyclo[5.2.0.03,5]nona-1(7),2,5,8-tetraene",HD0063_agg.xyz,0.155088,0.054635,0.040402,6.54285,-5.4138683240078,-2.5927279789490503,2.8211403450587498,0.09118363,-344.669109746169,-344.57166009,-344.57071588,0.03758019,-344.60829607
C8H2,C=C1[C]=[C][C][C][C]=[C]1,98.1036,1,20870776.0,"3-methylidenecyclohexa-1,4-diene",HD0064_agg.xyz,0.194843,0.069866,0.051426,1.20283,-6.2282778671692505,-3.04688599543355,3.1813918717357006,0.05977563,-305.300516039506,-305.23423353,-305.23328932,0.03748808,-305.2707774
C9H4,C#CC#C[C@]12[C]3[C]1[C@]23C,112.1302,0,,"(1R,2R)-1-buta-1,3-diynyl-2-methyltricyclo[1.1.0.02,4]butane",HD0065_agg.xyz,0.177087,0.02422,0.021997,4.36954,-6.20661760466945,-2.6826071837692003,3.52401042090025,0.08413025,-344.557059102256,-344.46393507,-344.46299086,0.04352795,-344.50651881
C8H10,C[C@]12C=C[C@@]3([C@H]1[C@H]23)C,106.166,0,,"(1R,2R,5R,6R)-2,5-dimethyltricyclo[3.1.0.02,6]hex-3-ene",HD0066_agg.xyz,0.151081,0.062886,0.049715,0.83645,-5.76949391522625,0.32580191320365,6.0952958284299,0.15224849,-310.352285305485,-310.19257759,-310.19163338,0.03933568,-310.23096906
C5H1,[CH]1[C]2[C@@]31[C]2[C]3,61.0628,1,12183045.0,"(1S)-tricyclo[1.1.0.01,3]butane",HD0067_agg.xyz,0.676219,0.260543,0.190464,2.88724,-6.812914474968499,-3.15366347036975,3.659251004598749,0.02886777,-190.508308503408,-190.47517411,-190.4742299,0.03204138,-190.50627128
C9H10,C#C[C@]12C[C@@H]3C[C@H]1[C@H]2C3,118.177,0,,"(1R,2S,4S,6R)-1-ethynyltricyclo[2.2.1.02,6]heptane",HD0068_agg.xyz,0.12313,0.04494,0.044406,1.14553,-6.4311931654871,1.2818739269354,7.7130670924225,0.16200822,-348.428097964127,-348.25914949,-348.25820529,0.0388532,-348.29705849
C6H8,[CH][C@@H]1[C@@H]2[C@H]1CC2,80.1284,1,101249204.0,"(1S,4R,5S)-5-methylbicyclo[2.1.0]pentane",HD0069_agg.xyz,0.294718,0.10288,0.092132,4.08231,-5.2854850093419,-1.91521891397415,3.37026609536775,0.11796677,-232.94310291741,-232.81952764,-232.81858343,0.03520711,-232.85379054
C7H6,C#C[C]1[C][CH]CC1,90.1238,1,136725.0,ethynylcyclopentane,HD0070_agg.xyz,0.25442,0.063161,0.053259,2.55083,-5.45988277612735,-2.96737432831745,2.4925084478099,0.10024371,-269.794295955556,-269.68764931,-269.68670511,0.03735981,-269.72406491
C6H7,CC#C[C]1CC1,79.1206,1,11240424.0,prop-1-ynylcyclopropane,HD0071_agg.xyz,0.615583,0.049023,0.046666,0.50762,-4.90814473285355,0.94594937849315,5.854094111346701,0.10360931,-232.395824747349,-232.28471362,-232.28376941,0.04104636,-232.32481577
C8H3,[C]1[C]2[C]1C=C[C]2C#C,99.1114,0,,"(1S,4R)-4-ethynylbicyclo[3.1.0]hex-2-ene",HD0072_agg.xyz,0.196208,0.056673,0.043972,2.22185,-6.26441458651565,-1.38993033696895,4.8744842495467,0.07124965,-305.989381668311,-305.91177462,-305.91083041,0.03816183,-305.94899224
C10H4,C#CC#CC#C/C=C/1\C=C1,124.14119999999998,0,,"(3E)-3-hepta-2,4,6-triynylidenecyclopropene",HD0073_agg.xyz,0.275796,0.012205,0.011688,5.49707,-5.3865753048026495,-1.40674697292985,3.9798283318728,0.09099738,-382.686290429848,-382.58560348,-382.58465927,0.04523256,-382.62989183
C5H2,[CH]1[CH][C]2[C]1[C]2,62.07059999999999,1,9101.0,"(1S,3S)-bicyclo[2.1.0]pentane",HD0074_agg.xyz,0.423204,0.313767,0.189249,2.19447,-6.63797248048205,-3.5137517287364,3.1242207517456504,0.04259187,-191.173155552713,-191.12653138,-191.12558717,0.03115445,-191.15674162
C4H5,C1[C]2[C@H]1C2,53.083,1,135973.0,(3S)-bicyclo[1.1.0]butane,HD0075_agg.xyz,0.678017,0.313064,0.279396,0.92308,-6.38800869741275,2.01617315250965,8.4041818499224,0.07301272,-155.053977369904,-154.97720418,-154.97625997,0.03070667,-155.00696664
C6H2,[CH2][C]C#CC#[C],74.08160000000001,1,138254.0,"penta-1,3-diyne",HD0076_agg.xyz,9.453668,0.044446,0.044238,6.22656,-6.80205713233355,-4.1539267734227,2.6481303589108496,0.04599296,-229.280617204144,-229.2281544,-229.22721019,0.03614505,-229.26335523
C4H4,[C]=C1CC1,52.0752,1,80245.0,methylidenecyclopropane,HD0077_agg.xyz,0.726401,0.25972,0.207626,4.06746,-7.29463762450865,-2.28317126262025,5.0114663618884006,0.06033122,-154.441472533143,-154.37656203,-154.37561782,0.03201621,-154.40763403
C4H7,CC(=C)[CH2],55.0986,1,8255.0,2-methanidylprop-1-ene,HD0078_agg.xyz,0.329239,0.292422,0.159522,0.33269,-5.2970770593732,1.0388762584389,6.3359533178121,0.09327061,-156.364286231805,-156.26564226,-156.26469805,0.03487273,-156.29957078
C5H9,CC1[CH]CC1,69.12519999999999,1,11725.0,methylcyclobutane,HD0079_agg.xyz,0.331663,0.140848,0.114321,0.16292,-5.04262339777065,1.78112120844775,6.8237446062184,0.12289572,-195.596453550074,-195.46760691,-195.4666627,0.0361049,-195.5027676
C7H3,[C]#C[C][C]1[C][CH]C1,87.1004,1,54517091.0,prop-2-ynylcyclobutane,HD0080_agg.xyz,0.519591,0.045839,0.042479,5.63031,-6.67688476110355,-3.7643685850469,2.9125161760566503,0.06430379,-267.853998941036,-267.78325523,-267.78231102,0.03823542,-267.82054644
C3H5,C1[CH]C1,41.072,1,6351.0,cyclopropane,HD0081_agg.xyz,0.787213,0.688264,0.43812,0.5615,-5.8391278495692,2.10074613724505,7.93987398681425,0.06617272,-117.053896238715,-116.98423925,-116.98329504,0.02928442,-117.01257946
C8H4,C#Cc1c[c][c]cc1,100.1192,1,10821.0,ethynylcyclohexatriene,HD0082_agg.xyz,0.198831,0.054656,0.042871,1.12419,-6.71576983034,-2.3419750657133003,4.3737947646267,0.08450688,-306.666448028113,-306.57551578,-306.57457157,0.03764335,-306.61221492
C5H4,C[CH][C]C#[C],64.08619999999999,1,12309.0,pent-1-yne,HD0083_agg.xyz,1.126852,0.080342,0.076074,5.30105,-6.8189554024496,-3.5142415336673003,3.3047138687822994,0.06480841,-192.484281268679,-192.41363308,-192.41268887,0.03532473,-192.44801359
C8H9,CC=C=C1[CH]C=CC1,105.1582,1,148755037.0,4-prop-1-enylidenecyclopentene,HD0084_agg.xyz,0.21285,0.034256,0.031319,0.46161,-4.4618508066485,0.1021515394777,4.5640023461262,0.13954104,-309.764080864212,-309.61648019,-309.61553598,0.04194522,-309.65748121
